signal,fragment
BTS,"BTS-is-great-please-dont-ddos-us
band-with-scary-stans
sexy-robot-boy-band
lighting-it-up-like-dynamite
you-know-what-army-stands-for"
Lil Nas X,"you-know-more-than-one-lil-nas-x-song
still-streaming-old-town-road
feel-on-your-ass-in-hawaii"
Shawn Mendes,"old-shawn-mendes-vines-saved-to-your-phone
cried-when-you-heard-shawn-collabed-with-bieber
love-it-when-he-calls-you-senorita
always-in-stitches"
Adele,"making-a-big-deal-about-your-birthday
still-singing-about-that-one-breakup
perpetually-unbothered"
Selena Gomez,"disney-adult
whisper-pop
constantly-defending-your-faves-vocal-abilities
you-will-be-single-soon"
Megan Thee Stallion,"body-ody-ody-and-brains
hot-girl-summer
hot-nerd-fall
just-found-out-there's-more-than-one-female-rapper
real-hot-girl-shit
wannabes-my-little-ponies"
Lewis Capaldi,"off-brand-ed-sheeran
music-you-hear-at-rite-aid"
Lady Gaga,"You-live-on-Chromatica
First-in-line-for-the-Chromatica-Oreos
You're-wearing-the-Chromatica-Jockstrap-aren't-you?
Still-Upset-Gaga-Didn't-Win-The-Acting-Oscar
Still-Talking-About-How-Artpop-Wasnt-Bad
actually-liked-joann
mother-monster"
Katy Perry,"cavity-inducing-sweet-pop
living-the-teenage-dream-in-your-30s
last-fridat-night-you-stayed-in"
DJ Khaled,"music-to-not-please-your-wife-to
we-da-best
anotha-one"
Migos,"bop-it-twist-it-skrt-skrt-rap
sudden-cravings-for-stir-fry"
Summer Walker,sexy-social-anxiety-r&b
Charli XCX,"cling-clang-pots-and-pans-music
put-it-into-speed-drive"
Lana Del Rey,"music-to-stalk-boys-to
you-probably-bring-a-tent-to-the-beach
took-a-shift-at-waffle-house"
Kacey Musgraves,"smoking-your-grandma's-weed
You-think-every-rainbow-is-a-sign-personally-telling-you-something
has-the-star-crossed-film-on-replay"
"Machine Gun Kelly, G-Eazy","borrowing-your-girlfriend's-eyeliner
grew-up-rich-but-dressed-poor-for-clout
rebel-against-your-very-nice-dad-anthems"
Frank Ocean,"music-on-dramamine
still-believe-an-album-is-coming"
"Dua Lipa, Ava Max, Bebe Rexha,Rita Ora",albanian-pop-agenda
Maroon 5,"Oh-you're-still-listening-to-maroon-5-lol
gap-commercial-music-sung-by-boys-with-tattoos
i-didnt-know-maroon-5-was-still-releasing-music
isn't-that-the-guy-from-the-voice
always-making-beautiful-mistakes"
"Dababy, Lil baby, SahBabii, Bhad Bhabie, Sada Baby, Birdman","rappers-named-baby
baby-rappers"
Jonas Brothers,"Why-does-everything-need-a-reboot
why-can't-you-let-kevin-jonas-rest
some-things-belong-in-the-past
jo-bros-2.0
you're-a-sucker-for-kevin"
"Dan+Shay, Chris Stapleton, Jason Aldean","car-commercial-soundtrack
You-think-Justin-Timberlake-had-the-best-Super-bowl-half-time-show"
"J Balvin, Bad Bunny, Maluma, Rosalia","you-know-the-difference-between-Bad-Bunny-and-Maluma-congrats
you've-come-a-long-way-from-despacito"
"Miley Cyrus, Selena Gomez, Demi Lovato, Hilary Duff, Ariana Grande, Zendaya, Sabrina Carpenter, Olivia Rodrigo, Dove Cameron",former-child-star
"Megan Thee Stallion, Dababy, Doja Cat, Jack Harlow, ",learns-about-rap-from-tiktok
"Harry Styles, Zayn Malik, Niall Horan, Nick Jonas, Justin Timberlake, Joe Jonas, Louis Tomlinson, Liam Payne",obsessed-with-former-boy-banders
"Beyonce, Normani, Camila Cabello, Nicole Scherzinger",obsessed-with-lead-vocalists-going-solo
"Taylor Swift, Jason Derulo",sexy-cat-in-cats-flop
"Kacey Musgraves, Marren Morris, The Chicks, Dolly Parton, Willie Nelson",like-country-but-smoke-weed-with-your-gay-friends
"Mariah Carey, Whitney Houston, Jennifer Hudson, Celine Dion, Beyonce, Aretha Franklin, Tina Turner, Adele, Christina Aguilera","nightmare-to-karaoke-with
never-turn-down-a-microphone
people-give-you-looks-when-you-sing-in-the-car-huh
you've-gotten-into-fights-over-divas
you-still-watch-vh1-divas-live-clips"
"Steely Dan, Santana, Van Morrison, Cream, Queen, Pink Floyd, Fleetwood Mac, Billy Joel, John Mellencamp, Peter Gabriel, Dire Straits, Paul Simon, The Rolling Stones, Van Halen, ZZ Top, Bon Jovi, Lynyrd Skynyrd, Judas Priest, Eagles, Pink Floyd, Rush","dad-rock
napping-in-your-mancave
boomer
retiree-softball-league
dads-still-cool
classic-rock-radio-station"
Insane Clown Posse,"gathering-of-the-juggalos
faygo-chugging"
U2,"bono
bono-worshipper
you've-been-to-the-sphere
wait-is-this-still-hidden-in-my-music-library-from-the-itunes-download"
"REM, Pearl Jam, Nirvana, Soundgarden, Alice In Chains, Red Hot Chili Peppers, Smashing Pumpkins, Jane's Addiction, Blind Melon, Soul Asylum, Veruca Salt","mid-nineties-flannel-shirt
nineties-dorm-room"
"Bon Iver, Hozier, The Lumineers, Of Monsters and Men, Fleet Foxes, Mumford and Sons","instagram-your-tent-at-sunset
mason-jar-candle-from-target
artisanal-coffee-shop
pour-over-coffee"
"Frank Sinatra, Dean Martin, Sammy Davis Jr., Peter Lawford","uncles-rat-pack-poker-night
sinatra-mug-shot-poster-in-your-dorm-room
rat-pack"
Oasis,"hey-i-can-play-wonderwall-on-acoustic-guitar
just-here-for-the-gallagher-drama"
"Jimmy Buffett, Pitbull, Daddy Yankee",sandals-resort-swim-up-bar
"The Shins, Iron and Wine, Frou Frou","garden-state-soundtrack
zach-braff"
blink-182,"nobody-likes-you-when-youre-perpetually-23
ufo-truther
let's-do-this-one-more-time
proud-of-travis-for-flying-again"
"Reel Big Fish, Streetlight Manifesto, Goldfinger, Less Than Jake, The Mighty Mighty Bosstones","ska
checkerboard-fedora
skanking-round-the-house
"
"Green Day, sum 41, Primus, Lagwagon","adult-skateboarder
middle-school-warped-tour"
Elliot Smith,you-must-be-wicked-smart
"Neutral Milk Hotel, Sonic Youth, Jeff Buckley",moody-barista
Dave Matthews Band,"DMB-die-hard
dave-matthews-hemp-necklace
midwestern-stoner"
"Madvillain, Childish Gambino, MF Doom","pretentious-hip-hop
liberal-arts-hip-hop"
"Simon and Garfunkel, Leo Kottke, James Taylor, Jim Croce","acoustic-boomer
boomer-with-feelings
sad-dad"
"Cher, RuPaul, Madonna, Tina Turner, Gloria Gaynor",drag-queen-brunch
"Chuck Berry, Buddy Holly, Roy Orbison, Little Richard","rockabilly
pompadour
greaser
stuck-in-the-fifties"
Elvis,"elvis-isnt-dead
endless-graceland-tour
ain't-nothing-but-a-hound-dog"
The Doors,"dry-humping-jim-morrisons-grave
jim-morrison-stan"
"Pink Floyd, The Doors, Jimi Hendrix, Jefferson Airplane, Cream, Love, The Zombies, Parson Sound, Blue Cheer, High Tide, Amon Duul, The Red Krayola, The Orkustra, High Tide, Baby Grandmothers, Iron Butterfly, Grateful Dead, Moby Grape, Strawberry Alarm Clock, Blues Magoos, The Chocolate Watchband","60s-acid-flashback
nag-champa
boomer-acid-flashback"
"The Ramones, The Sex Pistols, Crass, Sham 69, The Cramps, The Germs, X-Ray Specs, Middle Class, The Adverts, The Damned, The Buzzcocks, The Misfits, Stiff Little Fingers, The Clash, The Saints, The Screamers, The Undertones, The Jam, The Stooges","70s-punk
studded-leather-jacket
punk-with-grandchildren"
"Joy Division, The Cure, Pere Ubu, Devo, Talking Heads, Gang of Four, The Slits, The Fall, The Heat, The Raincoats, Siouxse and the Banshees","heavy-eyeliner-post-punk
sitting-alone-in-the-cafeteria"
"Black Flag, Fang, Bad Brains, Dead Milkmen, Cro-Mags, Minor Threat, Dead Kennedys, Circle Jerks, Minutement, Bad Religion, Agent Orange, The Adicts, Husker Du, Subhumans, FEAR, X, Agnostic Front, The Misfits, Social Distortion, The Gun Club, Neurosis, Melvins, Meat Puppets, Screeching Weasel, Rites of Spring, Dag Nasty","80s-punk
14-year-old-who-just-discovered-punk"
Weezer,"balding-Weezer-fan
only-wears-converse-allstars
pinkerton-was-their-best-album
all-your-favorite-albums-were-colors"
Sublime,"stoner-frat-bro
you-have-a-sun-tattoo-on-your-calf"
"Gas, Hazard, DJ Olive, Robert Rich, Stars Of The Lid, Tim Hecker, William Basinski, Sogar, DJ Olive, Fourcolor, Taylor Dupree, Miniamo, Sebastien Roux, Carl Michael Von Hausswolff, Machinefabriek, Giuseppe IeIasI, Celer, David Tagg, Imaginary Softwood, Milleu, Celer, David Tagg, Lawrence English, Infinite Body, Loscil, Mika Vainio, Stephan Mathieu","chiiiiiiiiiiiiiiiiil
so-ambient-its-barely-music
ambient"
Smash Mouth,"shape-of-an-l-on-her-forehead
shrek-soundtrack
hey-now-you're-an-all-star
soul-patch"
"Sarah McLachlan, Sheryl Crow, Jewel, Paula Cole, Suzanne Vega, Lisa Loeb, Indigo Girls, Natalie Merchant, Melissa Etheridge",lilith-fair-mainstage
Sarah McLachlan,ASPCA-commercial
"""Weird Al"" Yankovic","dad-jokes
parody-song
only-here-because-of-daniel-radcliffe"
"*NSYNC, Backstreet Boys, 98 Degrees, O-Town, Hanson, New Kids On The Block","tiger-beat
20th-century-teeny-bopper
frosted-tips-4-lyfe"
"Johnny Cash, Hank Williams, Carter Family, Loretta Lynn, Merle Haggard, George Jones, Roger Miller, Patsy Cline, Jimmie Rodgers, Willie Nelson","grand-ole-opry
moonshine"
"Luke Combs, Dan + Shay, Kane Brown, Thomas Rhett, Florida Georgia Line, Chris Stapleton, Morgan Wallen, Jason Aldean, Blake Shelton, Luke Bryan, Brett Young, Jon Pardi, Zac Brown Band, George Strait, Old Dominion, Eric Church, Lee Brice, Kelsea Ballerini, Dierks Bentley, Jordan Davis, Tim McGraw, Chris Lane, Cody Johnson, Mitchell Tenpenny, Chase Rice, Russell Dickerson, Brooks & Dunn, Scotty McCreery, Kenny Chesney, Jimmie Allen, Cole Swindell, Midland, Matt Stell, Keith Urban, Sam Hunt, Rascall Flatts, Justin Moore, Riley Green, Chris Young, Brett Eldredge, Dustin Lynch, Eli Young Band, Jake Owen, Lady A, Chris Janson, Brantley Gilbert, Bailey Zimmerman, HARDY","mainstream-country
bud-light-bumper-sticker
silverado
white-collar-country
white-collar-red-state
sausage-grinder-country"
Carrie Underwood,"rhinestone-country
hype-for-the-sunday-night-football-song"
"Miles Davis, John Coltrane, Charles Mingus, Thelonious Monk, Duke Ellington, Charlie Parker","basic-jazz
jazz-everyones-heard-of
jazz-your-friend-told-you-is-good
ken-burns-jazz"
John Tesh,"omfg-john-tesh
live-at-red-rocks"
"Yanni, Enya, Enigma, Kenny G, Deep Forest,  Mike Oldfield, Vangelis, Ennio Morricone, The Orb","pure-moods
90s-new-age
new-age-infomercial"
Britney Spears,"its-britney-bitch
aging-britney-fan
oops-i-did-it-again
you-stan-maria-river-red
mother-has-been-twirling
hit-me-baby-one-more-time-but-i-get-back-up-again
read-the-women-in-me-at-least-10-times"
Spice Girls,"omg-im-posh-spice-who-are-you
omg-im-ginger-spice-who-are-you
omg-im-baby-spice-who-are-you
a-zig-a-zig-ah"
Justin Guarini,from-justin-to-kelly
Avril Lavigne,"heavy-eyeliner-avril-stan
all-in-on-the-avril-conspiracy
l8r-h8rs"
Hilary Duff,"lizzie-mcguire
let's-go-back-back-to-the-beginning"
"Everclear, Eve 6, Bush, Sugar Ray, Lit, SR-71, American Hi-Fi, Third Eye Blind",90s-middle-school-rock
Phantom Planet,jason-schwartzman
Journey,steve-perry
ABBA,"mama-mia
dancing-queen"
Ashlee Simpson,"lesser-simpson-sister
you're-like-an-alley-cat"
Paula Abdul,"mc-skat-kat
lakers-dancer-to-pop-star-pipeline"
Ace of Base,"ace-of-base-diehard
ace-of-base-apologist
perfect-music-for-a-cult
you-saw-the-sign"
Michael Jackson,"allegations-of-abuse-have-never-been-proven-in-court
moonwalk
neverland-ranch
he-he"
"Danity Kane, O-Town, Da Band, Day26",making-the-band
"Explosions In The Sky, This Will Destroy You, If These Trees Could Talk, The Album Leaf, Mogwai, Godspeed You! Black Emperor, Sliver Mt. Zion","overdramatic-instrumental
stoned-itunes-visualizer"
"Kelly Clarkson, Tori Kelly, Meghan Trainor, Sia, Jess Glynne, Celine Dion, Michael Bolton, Leann Rimes, Rachel Platten, Josh Groban, Colbie Caillat, Christina Perri","cool-carpool-mom
minivan-vibes
minivan-swag"
"Colbie Caillat, Jason Mraz, Sara Bareilles, Ingrid Michaelson, Brandi Carlile","crunch-granola
avocados-and-fedoras
ukelele-sex-god"
"John Mayer, James Blunt, Jack Johnson, The Fray",nice-guys-finish-last-soft-rock
"Regina Spektor, Imogen Heap, Cat Power, Feist, Tegan and Sara, She & Him, Rilo Kiley, Lorde, willow, marina, sky ferreira, poppy, lykke li, st. vincent, ",manic-pixie-dream-girl
"The Fray, OneRepublic, Snow Patrol, Christina Perri, The Postal Service, Tegan and Sara, Anna Nalick, Ingrid Michselson,",Grey's-Anatomy-Soundtrack-Loving
"Dixie D'Amelio, Nessa Barett, Loren Gray, Jason Derulo, SAYGRACE, Doja Cat, 24kGoldn, ppcocaine, Flo Milli, Ashnikko, queen Herby, Larray, Conan Gray, beabadoobee","stop-getting-all-your-music-from-tiktok
your-gen-z-is-showing"
"Britney Spears, Christina Aguilera, NSYNC, Backstreet Boys, Pink, Mya, Jessica Simpson, Mandy Moore, Nelly Furtado, The Pussycat Dolls, Gwen Stefani, Fergie, Spice Girls, Destiny's Child, Jennifer Lopez, O-Town, Hanson, Savage Garden, Natasha Bedingfield, Black Eyed Peas, Justin Timberlake, LMFAO","your-gen-x-is-showing
low-cut-jean-pop"
"Madonna, Cher, Better Midler, RuPaul, Annie Lennox, Kylie Minogue, Celine Dion, Janet Jackson, Toni Braxton, Patti LaBelle, Deborah Cox, ","women-of-a-certain-age-obsessed
women-of-a-certain-age-stan"
"Little Mix, One Direction, Fifth Harmony, Demi Lovato, Camila Cabello, Selena Gomez, Billie Eilish, Melanie Martinez, BTS, Nicki Minaj, Iggy Azalea","get-into-fights-on-twitter
twitter-fighting
stan-army-lieutenant"
"City Girls, Cuban Doll, Kash Doll, Asian Doll, Megan Thee Stallion, Cardi B, Rico Nasty, Saweetie, Mulatto, Trina, GloRilla, Latto, Ice Spice, Coi Leray, Big Freedia","twerk-skills-on-legendary
periodt
real-hot-girl-shit
first-ladies-of-hip-hop"
"BTS, BLACKPINK, TWICE, MAMAMOO, Red Velvet, LOONA, Girl's Generation, 2NE1, j-hope, RM, V, SEVENTEEN, EXO","k-pop-aficionado
k-pop-for-breakfast
collects-all-the-photo-cards"
"Haim, The National, The 1975, King Princess, Maggie Rogers, Caroline Polacheck, Phoebe Bridgers, Julien Baker","trendy-middle-part-wearing
60-dollar-white-tshirt
music-to-thrift-shop-to
succulent-growing-indie-pop"
"Sylvan Esso, Bob Dylan, Pheobe Bridgers, Shamir, Bright Eyes, Perfume Genius, Fiona Apple, Noname, Lianne La Havas, Soccer Mommy, Grimes, Leon Bridges, Sharon Van Etten, Dirty Projectors, Tennis, Deerhunter,","love-your-npr-tote
a-tote-to-store-your-totes
local-talk-radio-bumper-sticker-bitch
ira-glass-in-your-airpods"
"Alaska Thunderfuck, Bob the Drag Queen, Miss Fame, Adore Delano, Sharon Needles, Blair St. Clair, Shea Coulee, Manila Luzon, Willam, Jinkx Monsoon, Ginger Minj, Violet Chachki, Courtney Act, Jiggly Caliente, Shangela Laquifa","charisma-uniqueness-nerve-and-talent
sashay-away
drag-race-reunion
rupaul-is-god"
Garth Brooks,"chris-gaines-alter-ego
can-garth-and-trisha-be-my-parents"
"Townes Van Zandt, Gram Parsons, Jason Isbell, Blaze Foley, Guy Clark, Zach Bryan",crying-in-a-cowboy-hat
Blippi,held-hostage-by-blippi
Paris Hilton,"paris-hilton-holdout
the-simple-life-box-dvd-set
thats-hot"
Creed,"scott-stapp
with-arms-wide-open"
"Philip Glass, Steve Reich, Kronos Quartet, Michael Nyman",maximally-pretentious-minimalism
John Williams,horny-soundtrack
Sufjan Stevens,"masters-in-creative-writing
one-of-the-rare-beautiful-ones"
Prince,"paisley-park
artist-formerly-known-as
assless-chaps-are-a-wardrobe-staple"
Barbara Streisand,"babs
rachel-berry-could-never"
Kenny Rogers,kenny-rogers-roasters
Bob Marley,stoned-in-tenth-grade-english
Bee Gees,"tight-pants
falsetto-disco
staying-alive"
John Denver,sunshine-on-my-shoulders
Maren Morris,"lunatic-country-music-person
burn-the-small-town-down"
Doja Cat,doja-wish-your-girlfriend
SZA,"i-just-killed-my-ex
sza-the-day"
Peso Pluma,
Karol G,"no-relation-to-becky
pink-hair-don't-care"
"Peso Pluma, Karol G, Bad Bunny, Feid, Ricky Martin, Pitbull, Enrique Iglesias, Marc Anthony, Jennifer Lopez, Shakira",here-for-the-latin-takeover
Feid,medallo-swag
Jung Kook,"bias-wrecker
monday-tuesday-wednesday-thursday-friday-saturday-sunday
3D-is-better-than-1D"
Latto,"just-won-the-latto
big-big-energy
rip-me-out-the-plastic"
21 Savage,"21-21-21
the-uk-is-close-enough-to-atl"
Jack Harlow,"next-gen-enimen
throw-up-the-l"
Kelsea Ballerini,rolling-up-the-welcome-mat
Glass Animals,even-you-are-tired-of-heat-waves
Luke Combs,"you-gotta-fast-car
good-guy-country"
Zach Bryan,drive-an-88-ford
"Zach Bryan, Kacey Musgraves",you-remember-everything
Metro Boomin,this-beat-is-so-so-metro
Olivia Rodrigo,"tripped-and-fell-into-his-bed
just-got-your-drivers-license
can't-parallel-park"
Sabrina Carpenter,"bleh-blah-blee
jesus-is-a-carpenter"
Carly Rae Jepsen,"call-me-maybe-baby
gives-you-all-the-emotions
i-got-a-beach-house-in-malibu
probably-gonna-hurt-your-feelings"
BLACKPINK,hit-you-with-that-ddu-du-ddu-du
Ice Spice,"little-orphan-icy
first-in-line-for-the-ice-spice-chia-pet"
"Ice Spice, Nicki Minaj","bad-like-the-barbie
just-fell-in-love-with-a-gangsta"
Dr. Dre,"still-bumpin-tha-chronic
still-d-r-e
beats-around-your-neck"
Snoop Dogg,"roll-up-a-joint
drop-it-like-it's-hot
snoop-d-o-double-jizzle
gin-n-juice"
Troye Sivan,"feel-the-rush
makes-you-question-your-sexuality
knows-all-the-choreo-to-the-linked-arms-dance
oh-my-my-my"
Lil Uzi Vert,"pink-striped-american-flag
first-to-buy-the-mix-tape
luv-is-rage"
Jelly Roll,"post-malone's-country-cousin
got-a-thing-for-the-wild-ones
only-talk-to-god-when-you-sing-this-song"
Dolly Parton,"america's-meemaw
the-higher-the-hair-the-closer-to-god
still-fighting-9-to-5-capitalism"
Lainey Wilson,"closet-full-of-wide-brimmed-hats
heart-like-a-truck"
Kane Brown,"not-a-red-dirt-country-fan
ain't-life-grand"
Elton John,"tiny-dancer-doesn't-sound-like-tony-danza
forever-wearing-rose-colored-glasses
rocket-man"
JVKE,get-all-your-music-from-titok
Kelly Clarkson,"the-og-american-idol
kellyoke-is-your-jam"
P!nk,"secretly-a-cirque-du-soleil-performer
edgy-cool-mom"
The Kid LAROI,"soundcloud-glow-up
tracksuit-hip-pop
gravely-scratchy-crooning
get-drunk-wasted-still"
Usher,"you-got-it-bad
music-for-millennial-love-making
girls-trip-to-vegas
seven-o'clock-on-the-dot"
Janelle Monae,"an-emotional-sexual-bender
arch-android"
Dove Cameron,plus-all-your-clothes-would-fit
Kim Petras,"the-peoples-pop-princess
gay-anthems-gone-mainstream
one-coconut-two-coconut"
Stray Kids,"you-probably-went-to-warped-tour-and-now-youre-a-kpop-stan
dont-come-at-us-one-of-us-is-an-ultra-skz-ult
bang-chan-cant-solve-all-your-problems-sadly
seungmin-will-never-respond-to-you-on-bubble-sadly
i-have-a-401k-and-i-will-go-to-every-concert
i-want-to-love-anything-as-much-as-donatella-loves-hyunjin"
"The Chicks, Maren Morris, Kacey Musgraves, Willie Nelson",socially-liberal-musically-conservative-country
The Chicks,"not-ready-to-make-nice-not-ready-to-back-down
a-crush-on-natalie-maines
right-about-the-iraq-war"
TOMORROW X TOGETHER,"you-have-19-biases-in-one-group-with-five-members
call-me-terry
ifykyk-dubaddu-wari-wari
no-one-has-ever-soobed-so-hard"
Paramore,"you-never-meant-to-brag-but
scream-singing-at-the-top-of-your-lungs
wore-rainbow-toe-socks-in-high-school
bought-out-the-red-hair-dye"
Metallica,still-feuding-with-napster
System of a Down,shouting-jibberish-to-chop-suey
Linkin Park,wore-spray-paint-respirator-non-ironically
Hozier,"you-have-been-to-church-once
didn't-know-he-was-irish
voice-that-gives-you-the-tingles"
"Metallica, Foo Fighters, Guns N'Roses, Poison, Motley Crue, Def Leppard, Ratt, Whitesnake, Twisted Sister, Quier Riot","air-drumming-at-a-stop-light
hand-is-frozen-in-the-rock-horns"
Foo Fighters,"the-singer-looks-like-the-drummer-from-nirvana
the-cockroach-of-grunge-rock"
Guns N'Roses,"appetite-for-destruction
top-hat-paired-with-flannel
got-skull-and-rose-tattoo-that-your-buddy-gave-your-drunk
bandanas-to-hide-your-balding-hair-line"
Fall Out Boy,"every-long-sentence-is-a-song-title
still-wears-a-fedora-or-newsboy-cap"
"Fall Out Boy, Panic! At the Disco, My Chemical Romance, Paramore, Jimmy Eat World, Good Charlotte","still-flat-ironing-your-hair
icing-your-back-after-thrashing-around-at-the-when-we-were-young-tour
way-too-many-nautical-star-tattoos"
"David Guetta, Calvin Harris, Tiesto, Avicii, Daft Punk, The Chainsmokers, Marshmellow, Gorillaz, Skrillex",make-beats-in-your-mom's-basement
"Kylie Minogue, Kim Petras, Robyn, Britney Spears, Lady Gaga, Whitney Houston, Cher",clear-out-the-bathroom-at-a-gay-bar
"Girl in Red, Kehlani, Fletcher, G Flip, Hayley Kiyoko, Christine and the Queens, Tegan and Sara, Dove Cameron, St. Vincent, Reneé Rapp","my-ex-is-dating-my-ex's-ex's-ex
sapphic-sandwich
isle of lesbo"
"Nickleback, Creed, Three Doors Down, Hinder","jeans-with-crosses-on-the-back-pockets
growl-singing-like-a-feral-hog"
"Hozier, Teddy Swims",white-guys-taking-you-to-church
"Girl in Red, Kehlani, Fletcher, G Flip, Hayley Kiyoko, Christine and the Queens, Tegan and Sara, Sam Smith, Kim Petras, Troye Sivan, Miley Cyrus, Frank Ocean, Elton John, Dove Cameron, Big Freedia, St. Vincent, Janelle Monae, Reneé Rapp",supports-the-queer-agenda
Janet Jackson,"miss-jackson-if-you're-nasty
queen-of-pop
justice-for-damita-joe"
"Janet Jackon, Britney Spears","jt-hater
team-janet-and-britney"
Missy Elliot,"ti-esrever-dna-ti-pilf-nwod-gnaht-ym-tup-i
can't-feel-the-rain-in-your-puffy-suit
supa-dupa-fly"
"Missy Elliot, Lil Kim, Queen Latifah, Lauryn Hill, Mc Lyte, TLC, Da Brat, Eve, Salt-N-Pepa, Ashanti",queens-of-the-99-and-the-2000
TLC,"all-that-theme-song
condoms-on-overalls
crazy-sexy-cool
left-eye-foreva"
"Gucci Mane, Chief Keef, Migos, Future, Metro Boomin, 21 Savage",mumble-rap-go-hard
