signal,fragment,Notes
Generic artist,"[Artist]-stan
[Artist]-fanboy
too-much-[Artist]
cool-it-with-the-[Artist]
[Artist]
[Artist]-on-repeat
omfg-[Artist]
[Artist]-hits-different
annoying-your-neighbors-with-[Artist]
constantly-defending-[artist]
[artist]-hive-army-stan
[artist]-as-your-zoom-background",
Bad Bunny,"pre-ordered-the-bad-bunny-crocs
YHLQMDLG-OMG-too-much-bad-bunny",
Travis Scott,keeping-kylie-rich-by-buying-travis-scott-meals,
Drake,"sadsack-drake
depressive-canadian
soft-boi
crying-during-sex",
The Weeknd,"motherfucking-starboy
hxcore-falsetto
knew-about-the-weekend-before-he-was-cool",
Billie Eilish,"billie-stan
omg-billie-is-so-iconic
depressed-bops
hot-topic-threw-up-on-you",
Ariana Grande,"arianator
un-enunciated
ponytail-pop
high-notes-and-higher-ponytails",
Dua Lipa,"dula-peep
disco-is-back
dua-little-dance",
Halsey,"upscale-myspace-music
no-genre-all-drama",
Post Malone,"face-tattoo
falling-asleep-standing-up
you-listen-to-podcasts-at-half-speed",
Lizzo,"yes-bitch-you-rule
pop-music-motivational
scented-candle-and-hard-seltzer
100-percent-that-bitch
flute-infused-r&b
flute-twerk",
Ed Sheeran,"sensitive-english-ginger
romcom-trailer-music
wedding-or-funeral-vibes",
Khalid,you-might-even-know-what-khalid-looks-like,
Eminem,moms-spaghetti,
Rihanna,"still-listening-to-anti
waiting-for-the-album
head-to-toe-fenty
oh-na-na",
Sia,"scream-at-the-top-of-your-lungs
faceless-popstar
dance-moms-loving",
Mariah Carey,"you-used-to-listen-to-ariana-secretly
you-think-you-can-hit-the-whistle-notes
it's-christmas-year-round-at-your-place
you're-a-lamb-miss-mary",
Beyonce,"queen-bey
memorized-all-the-single-ladies-choreography
waited-up-till-midnight-for-the-surprise-album
becky-with-the-good-hair
surfbort",
Sam Smith,"keyboard-is-wet-from-crying-at-work
definitely-in-love-with-your-coworker-or-best-friend",
Pentatonix,"blink-twice-if-you-need-help
wannabe-tenor-but-probably-a-bass
awkward-beatboxing",
Michael Buble,"mayonnaise-as-a-food-group
hung-out-with-your-parents-as-a-child
old-person-trapped-in-a-young-person's-body",
Morgan Wallen,"you've-used-the-same-mask-all-pandemic-long
thought-about-kissing-your-cousin-for-tiktok-views",
Marshmello,"fortnite-kid
among-us-character-looking
still-clubbing-during-pandemic",
Kanye West,"can-be-convinced-the-earth-is-flat
probably-voted-for-a-fictional-character
wrote-in-kanye-for-president",
Jason Derulo,"🎶jason derulo🎶
tiktok-thirsty",
Cardi B,"macaroni-in-a-pot
get-a-bucket-and-a-mop
wet-ass
certified-freak
touch-that-lil-dangly-thing",
NIcki Minaj,"certified-barb
all-these-bitches-is-my-sons
pink-wig-thick-ass-give-'em-whiplash
in-the-comments-of-the-shade-room",
Da Baby,,
Justin Bieber,"belieber
goes-to-church-hungover
r&bieber
justin-says-its-not-pop-okay
learned-all-one-lyric-to-yummy",
Taylor Swift,"tay-tay-fangirl
swiftie-fangirl
songs-loosely-written-about-dating-harry-styles
bon-iver's-impact
went-to-the-woods-once
folklore-evermore-dumbledore-witch-pop",
Miley Cyrus,"came-in-like-a-wrecking-ball
salvia-bong-rip-pop
mullet-pop",
Demi Lovato,"Proud-Lovatic
Cool-For-The-Summer-Year-Round
How-Many-Times-Have-You-Seen-Camp-Rock",
Harry Styles,"bought-a-dress-after-seeing-it-on-harry-styles
would-jump-in-front-of-a-bus-for-four-out-of-five-one-direction-members
loved-harry-since-x-factor",
Queen,"looks-like-someone-saw-the-queen-movie
requests-bohemian-rhapsody-at-wedddings",
Imagine Dragons,"radioactive-in-the-bad-way
chernobyl-esque
can't-name-the-members-in-the-band",
Coldplay,"washed-up-brit
still-listening-to-the-scientist
conscious-uncoupling-rock",
Bruno Mars,"parent-friendly-pop
cool-wedding-band
even-smaller-james-brown",
Fleetwood Mac,"actual-fan-or-just-saw-the-skateboarder-with-the-cranberry-juice
stevie-knicks-idolizing",
BTS,"BTS-is-great-please-dont-ddos-us
band-with-scary-stans
sexy-robot-boy-band",
Lil Nas X,"you-know-more-than-one-lil-nas-x-song
still-streaming-old-town-road",
Shawn Mendes,"old-shawn-mendes-vines-saved-to-your-phone
cried-when-you-heard-shawn-collabed-with-bieber
love-it-when-he-calls-you-senorita",
Adele,"making-a-big-deal-about-your-birthday
still-singing-about-that-one-breakup",
Selena Gomez,"disney-adult
whisper-pop
constantly-defending-your-faves-vocal-abilities",
Megan Thee Stallion,"body-ody-ody-and-brains
hot-girl-summer
hot-nerd-fall
just-found-out-there's-more-than-one-female-rapper
real-hot-girl-shit",
Lewis Capaldi,"off-brand-ed-sheeran
music-you-hear-at-rite-aid",
Lady Gaga,"You-live-on-Chromatica
First-in-line-for-the-Chromatica-Oreos
You're-wearing-the-Chromatica-Jockstrap-aren't-you?
Still-Upset-Gaga-Didn't-Win-The-Acting-Oscar
Still-Talking-About-How-Artpop-Wasnt-Bad",
Katy Perry,cavity-inducing-sweet-pop,
DJ Khaled,music-to-not-please-your-wife-to,
Migos,bop-it-twist-it-skrt-skrt-rap,
